,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
1551,HutvKxK96GUwElAeWUItuJkPmqU2,0.0,4693.76,0.0,True,8 days 06:22:49.726111,player does not play!
1562,I78g1q7pudY97TqdXuYgyIoey4r1,0.0,5991.94,0.0,True,6 days 06:31:01.726111,player does not play!
1577,IIigWRPU6jbz71tYj4n8lxOv2E93,1.4,5199.55,2214.0,True,5 days 00:44:47.727099,"this player play time is only 0.19% of average, skill is 60.48870347529165% of average, churn level is 21913.08"
1579,IJLDtTEL6tRTp2tOPoeTSORbNmn2,0.0,5533.92,0.0,True,6 days 07:22:01.727099,player does not play!
1585,IQXQoBSMGoZMtfJwFNhHgksn6al2,0.0,8580.859999999999,0.0,True,8 days 04:57:46.727099,player does not play!
1586,IS7JfuZcnDXIqMteimeX1Z1th6H2,0.0,7148.53,0.0,True,5 days 04:12:42.727099,player does not play!
1617,IlTsh5mHF8cNZl0IUG5UzKM2LRs2,130.9,3400.0699999999997,71.0,True,4 days 21:25:05.728096,"this player play time is only 27.83% of average, churn level is 77.18"
1618,ImEUjPD2NrR7U3CHvN5oQz66UPY2,0.0,6936.629999999999,0.0,True,5 days 07:04:43.728096,player does not play!
1642,J5PEHN8FyybPATMnP0nVlH6PKgz1,0.0,9061.45,0.0,True,6 days 10:03:02.728096,player does not play!
1653,JCH2xcIIZ8h7yQTJKJNppkth8Ou2,1.13,1960.49,4795.0,True,5 days 16:11:03.728096,"this player play time is only 0.42% of average, churn level is 5970.68"
1660,JHYREAEIQ6b6wSHUkq7STeWPt6F2,0.0,5755.530000000001,0.0,True,5 days 07:37:14.728096,player does not play!
1668,JNmil0xVQ2ZY5AdCbhhAteqS1Rq1,71.28,1464.24,52.0,True,4 days 13:34:45.729093,"this player play time is only 35.19% of average, win 16.53% of average, churn level is 518.25"
1680,JTlYiSVTnPc0erUIwc5gr1X6diY2,0.0,10105.02,0.0,True,7 days 21:58:57.729093,player does not play!
1704,JlFnhfpA7DdZP0HEocu14CiQgY63,1.78,6413.75,6.0,True,4 days 23:34:57.729093,"this player play time is only 0.2% of average, skill is 24.0749294605645% of average, churn level is 1417.5"
1718,K4K84yAx1IZB3BlpNBpf78lY7GG2,0.0,5959.2300000000005,0.0,True,7 days 00:34:37.730090,player does not play!
1732,KJkhsMZ2SydOnxCr8auusv4gmea2,0.0,8934.37,0.0,True,7 days 07:07:22.730090,player does not play!
1735,KOJyNfDydGUUCeUl6bMQ8skbQYs2,0.0,9068.32,0.0,True,5 days 10:31:15.730090,player does not play!
